title,author,url,date,date_utc,query_hashtag
"From practicing reading skills to learning new ways to help others, Moxie is here to help your child through their social and emotional development! #moxierobot #socialemotionaldevelopment #playbasedlearning #robotsontiktok ",moxierobot,https://www.tiktok.com/@moxierobot/video/7346027835103989038,1710380413,2024-03-14 01:40:13,moxierobot
This trend but it’s Moxie with all of her masks 🤖 #moxierobot #socialemotionaldevelopment #playbasedlearning ,moxierobot,https://www.tiktok.com/@moxierobot/video/7402428694351957279,1723512252,2024-08-13 01:24:12,moxierobot
Ready to learn more about how Moxie can help your kid? Tap the link in our bio to get started! #moxierobot  #socialemotionaldevelopment #parenttok #parentsoftiktok #childhooddevelopment #moxie   ,moxierobot,https://www.tiktok.com/@moxierobot/video/7245082748669447467,1686877290,2023-06-16 01:01:30,moxierobot
It’ll all work itself out. 😌 #moxierobot #socialemotionaldevelopment #playbasedlearning #robotsontiktok ,moxierobot,https://www.tiktok.com/@moxierobot/video/7368655469487066414,1715648807,2024-05-14 01:06:47,moxierobot
It’s Mental Health Awareness month! Take a look as to how Moxie can help kids with their mental health. #mentalhealthawarenessmonth #moxierobot #socialemotionaldevelopment #childhooddevelopment #robotsforkids #mentalhealth ,moxierobot,https://www.tiktok.com/@moxierobot/video/7233950288665857326,1684285309,2023-05-17 01:01:49,moxierobot
Were you able to name all 3 emotions correctly? Let us know in the comments! #moxierobot #robotsontiktok #socialemotionaldevelopment #socialemotionallearning #emotionaldevelopmentforkids ,moxierobot,https://www.tiktok.com/@moxierobot/video/7261039441463250222,1690592504,2023-07-29 01:01:44,moxierobot
Work through feelings. Play through words. #moxierobot ,moxierobot,https://www.tiktok.com/@moxierobot/video/7238774842793938222,1685408619,2023-05-30 01:03:39,moxierobot
What do you think? 👽🛸 #moxierobot #robotsontiktok #aliens ,moxierobot,https://www.tiktok.com/@moxierobot/video/7278852107422272811,1694739830,2023-09-15 01:03:50,moxierobot
Replying to @lrglegpain  #moxierobot ,k.walmsley,https://www.tiktok.com/@k.walmsley/video/7283902433976159519,1695915704,2023-09-28 15:41:44,moxierobot
Replying to @bluey and bingo 🧡💙 “I hope your braces don’t cause you too much trouble!” - Moxie 🤖 ♥️ #moxierobot #robotsontiktok #socialemotionaldevelopment ,moxierobot,https://www.tiktok.com/@moxierobot/video/7270688471529049390,1692839085,2023-08-24 01:04:45,moxierobot
Replying to @George This was the perfect example to show off Moxie’s KidFilter™️ technology! #moxierobot #socialemotionaldevelopment #playbasedlearning ,moxierobot,https://www.tiktok.com/@moxierobot/video/7310037979337166111,1702000856,2023-12-08 02:00:56,moxierobot
